tempo    | level=info ts=2023-06-21T09:54:08.708868041Z caller=wal.go:118 msg="beginning replay" file=49f911f7-17a8-4159-be55-8f88a92564d7:single-tenant:v2:snappy:v2 size=17399
tempo    | level=info ts=2023-06-21T09:54:08.709770753Z caller=wal.go:145 msg="replay complete" file=49f911f7-17a8-4159-be55-8f88a92564d7:single-tenant:v2:snappy:v2 duration=911.611µs
tempo    | level=info ts=2023-06-21T09:54:08.736393184Z caller=app.go:195 msg="Tempo started"
prom     | ts=2023-06-21T09:54:08.504Z caller=head.go:588 level=info component=tsdb msg="Replaying on-disk memory mappable chunks if any"
prom     | ts=2023-06-21T09:54:08.504Z caller=head.go:669 level=info component=tsdb msg="On-disk memory mappable chunks replay completed" duration=4.328µs
agent    | ts=2023-06-21T09:54:09.121767364Z caller=node.go:85 level=info agent=prometheus component=cluster msg="applying config"
agent    | ts=2023-06-21T09:54:09.133599141Z caller=manager.go:289 level=debug component=logs logs_config=default component=discovery msg="Starting provider" provider=static/0 subs=map[app:{}]
agent    | ts=2023-06-21T09:54:14.134649202Z caller=filetargetmanager.go:361 level=info component=logs logs_config=default msg="Adding target" key="/tmp/app.log:{job=\"app\"}"
agent    | ts=2023-06-21T09:54:14.134838025Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:54:24.136074318Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:54:34.135960939Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:54:44.13537328Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
